caso_id,sim_con_rumor,es_bot_knn,seguidores_alto,ya_desmintio,horario_noche,cuenta_nueva,accion
1,1,0,1,0,0,0,amplifica_influencer
2,1,1,0,0,1,0,amplifica_en_masa
3,1,0,1,0,1,0,amplifica_influencer
4,1,1,1,0,1,0,amplifica_en_masa
5,1,1,1,0,1,0,amplifica_en_masa
6,0,1,1,1,0,1,contrarresta
7,0,0,1,1,0,0,contrarresta
8,1,1,1,0,0,0,amplifica_en_masa
9,1,1,0,0,0,0,amplifica_en_masa
10,1,1,0,0,1,0,amplifica_en_masa
11,0,0,1,1,1,1,contrarresta
12,1,1,1,1,0,0,contrarresta
13,1,0,0,1,1,1,contrarresta
14,0,1,1,1,1,1,contrarresta
15,0,0,0,1,0,0,contrarresta
16,1,1,0,1,1,1,contrarresta
17,1,1,0,0,1,0,amplifica_en_masa
18,1,0,0,1,0,1,contrarresta
19,1,0,1,1,1,0,contrarresta
20,1,1,0,1,0,0,contrarresta
21,0,0,1,1,0,1,contrarresta
22,1,1,1,1,1,1,contrarresta
23,1,0,1,0,1,1,amplifica_influencer
24,1,1,0,0,0,0,amplifica_en_masa
25,0,1,1,1,1,0,contrarresta
26,1,1,0,1,1,0,contrarresta
27,1,1,0,1,0,0,contrarresta
28,0,1,0,1,1,1,contrarresta
29,1,1,1,1,1,1,contrarresta
30,0,0,0,1,0,0,contrarresta
31,0,1,1,0,0,0,ignora
32,1,1,0,1,0,0,contrarresta
33,0,0,0,1,0,0,contrarresta
34,1,0,1,0,1,1,amplifica_influencer
35,0,0,1,1,1,0,contrarresta
36,1,1,1,0,1,1,amplifica_en_masa
37,0,1,1,0,1,0,ignora
38,1,1,1,0,1,1,amplifica_en_masa
39,1,0,1,1,1,0,contrarresta
40,1,1,0,1,1,0,contrarresta
41,0,1,1,1,0,0,contrarresta
42,0,0,1,1,1,0,contrarresta
43,0,1,0,0,1,1,ignora
44,1,1,0,1,0,1,contrarresta
45,1,1,1,0,0,1,amplifica_en_masa
