id,usuario,comentario,categoria,sentimiento,puede_votar,cuenta_verificada,dias_cuenta,voto
1,@user_0001,si eres sospechoso de bot no te dejan votar...,explica_regla,neutro,1,1,1006,a_favor_de_restringir
2,@user_0002,sin filtro de voto gana quien tenga más bots #voto,a_favor_restriccion,positivo,1,0,423,a_favor_de_restringir
3,@user_0003,llevo poco tiempo registrado y no me deja votar pls,queja,negativo,0,0,1,sin_permiso
4,@user_0004,está bien que no todos puedan votar así evitan bots.,a_favor_restriccion,positivo,1,1,990,a_favor_de_restringir
5,@user_0005,staff y alumnos verificados sí pueden votar.,explica_regla,neutro,0,0,10,sin_permiso
6,@user_0006,todos los alumnos deberían poder votar,en_contra_restriccion,negativo,1,1,1065,abrir_voto_a_todos
7,@user_0007,abrir el voto a todos haría más legítima la encuesta pls,en_contra_restriccion,negativo,1,1,491,abrir_voto_a_todos
8,@user_0008,quitar la restricción ya??,en_contra_restriccion,negativo,0,0,14,sin_permiso
9,@user_0009,la restricción de voto protege el resultado...,a_favor_restriccion,positivo,1,0,455,a_favor_de_restringir
10,@user_0010,todos los alumnos deberían poder votar??,en_contra_restriccion,negativo,1,1,609,abrir_voto_a_todos
11,@user_0011,staff y alumnos verificados sí pueden votar...,explica_regla,neutro,1,1,431,abstencion
12,@user_0012,abrir el voto a todos haría más legítima la encuesta #encuesta,en_contra_restriccion,negativo,1,1,892,abrir_voto_a_todos
13,@user_0013,intenté votar tres veces y me rechaza??,queja,negativo,0,0,11,sin_permiso
14,@user_0014,llevo poco tiempo registrado y no me deja votar,queja,negativo,0,0,8,sin_permiso
15,@user_0015,aparece el mensaje: no tienes permiso para votar.,queja,negativo,0,0,1,sin_permiso
16,@user_0016,si dejan votar a cualquiera manipulan la encuesta #voto,a_favor_restriccion,positivo,1,1,840,a_favor_de_restringir
17,@user_0017,yo pago inscripción y no puedo votar absurdo...,en_contra_restriccion,negativo,1,0,785,abrir_voto_a_todos
18,@user_0018,concuerdo: no todos deben poder votar aquí!,a_favor_restriccion,positivo,0,0,23,sin_permiso
19,@user_0019,intenté votar tres veces y me rechaza #voto,queja,negativo,0,0,5,sin_permiso
20,@user_0020,no es justo que no todos puedan votar,queja,negativo,0,0,17,sin_permiso
21,@user_0021,concuerdo: no todos deben poder votar aquí,a_favor_restriccion,positivo,1,1,685,a_favor_de_restringir
22,@user_0022,cuántos días de cuenta necesito para votar,neutro_pregunta,neutro,1,1,518,abrir_voto_a_todos
23,@user_0023,la regla de no todos pueden votar discrimina.,en_contra_restriccion,negativo,1,1,562,abrir_voto_a_todos
24,@user_0024,está bien que no todos puedan votar así evitan bots,a_favor_restriccion,positivo,1,1,857,abstencion
25,@user_0025,staff y alumnos verificados sí pueden votar??,explica_regla,neutro,0,0,18,sin_permiso
26,@user_0026,puedo recuperar el permiso de voto pls,neutro_pregunta,neutro,1,1,629,abrir_voto_a_todos
27,@user_0027,todos los alumnos deberían poder votar.,en_contra_restriccion,negativo,1,0,344,abrir_voto_a_todos
28,@user_0028,el botón de votar está gris qué significa.,neutro_pregunta,neutro,0,0,12,sin_permiso
29,@user_0029,las cuentas nuevas no pueden votar por seguridad.,explica_regla,neutro,0,0,1,sin_permiso
30,@user_0030,aparece el mensaje: no tienes permiso para votar,queja,negativo,0,0,15,sin_permiso
31,@user_0031,apoyo que solo voten cuentas verificadas.,a_favor_restriccion,positivo,1,1,12,abstencion
32,@user_0032,excluir gente del voto es antidemocrático pls,en_contra_restriccion,negativo,1,1,1151,abrir_voto_a_todos
33,@user_0033,si no todos pueden votar para qué preguntan.,en_contra_restriccion,negativo,0,0,14,sin_permiso
34,@user_0034,esto silencia a los de nuevo ingreso??,en_contra_restriccion,negativo,0,0,17,sin_permiso
35,@user_0035,dice que mi cuenta no tiene permiso para votar #encuesta,queja,negativo,0,0,10,sin_permiso
36,@user_0036,sin verificación de identidad no hay voto...,explica_regla,neutro,1,0,967,abstencion
37,@user_0037,todos los alumnos deberían poder votar #encuesta,en_contra_restriccion,negativo,0,0,22,sin_permiso
38,@user_0038,dice que mi cuenta no tiene permiso para votar,queja,negativo,0,0,4,sin_permiso
39,@user_0039,la regla de no todos pueden votar discrimina #voto,en_contra_restriccion,negativo,1,1,1646,abstencion
40,@user_0040,solo cuentas verificadas pueden votar pls,explica_regla,neutro,0,0,1,sin_permiso
41,@user_0041,no es justo que no todos puedan votar #encuesta,queja,negativo,0,0,11,sin_permiso
42,@user_0042,qué requisitos hay para poder votar,neutro_pregunta,neutro,1,1,408,abstencion
43,@user_0043,si no todos pueden votar para qué preguntan,en_contra_restriccion,negativo,1,1,1185,abrir_voto_a_todos
44,@user_0044,dice que mi cuenta no tiene permiso para votar??,queja,negativo,0,0,11,sin_permiso
45,@user_0045,staff y alumnos verificados sí pueden votar...,explica_regla,neutro,0,0,19,sin_permiso
46,@user_0046,si no todos pueden votar la encuesta no es válida #voto,queja,negativo,0,0,17,sin_permiso
47,@user_0047,me sale error 403 al intentar votar.,queja,negativo,0,0,13,sin_permiso
48,@user_0048,solo alumnos activos del semestre pueden votar,explica_regla,neutro,0,0,1,sin_permiso
49,@user_0049,intenté votar tres veces y me rechaza pls,queja,negativo,0,0,9,sin_permiso
50,@user_0050,me sale error 403 al intentar votar,queja,negativo,0,0,10,sin_permiso
51,@user_0051,solo alumnos activos del semestre pueden votar,explica_regla,neutro,1,1,1297,abstencion
52,@user_0052,si no todos pueden votar la encuesta no es válida...,queja,negativo,0,0,2,sin_permiso
53,@user_0053,puedo recuperar el permiso de voto,neutro_pregunta,neutro,1,1,725,a_favor_de_restringir
54,@user_0054,para votar necesitas más de 30 días de antigüedad #encuesta,explica_regla,neutro,0,0,9,sin_permiso
55,@user_0055,si no todos pueden votar la encuesta no es válida!,queja,negativo,0,0,9,sin_permiso
56,@user_0056,no es justo que no todos puedan votar,queja,negativo,0,0,3,sin_permiso
57,@user_0057,esto silencia a los de nuevo ingreso #voto,en_contra_restriccion,negativo,1,1,454,abrir_voto_a_todos
58,@user_0058,intenté votar tres veces y me rechaza!,queja,negativo,0,0,1,sin_permiso
