autor,texto,fecha,likes
@LeoyNachoPodcast,"Para los que vengan de Tik Tok o Instagram o de la FUNA 
Escuchen completo ‼️
Ánimo 🔥",2026-07-13T23:27:18Z,35
@elvia33,Caen mal fifis no saven nada todo lo acomodan a su manera deberían salir a los pueblos y ver la realidad no ahí sentado tes solo opinando sin argumentos fuera fuera,2026-07-23T16:51:32Z,0
@SaulHernandez-vh2rw,Se creen mejores que otros y estan bien imbeciles estos 2 🤣,2026-07-23T16:02:07Z,0
@shumoalaire5179,"Pienso que hay que empezar a crear un diplomado para opinar 😂 ellos creen que tienen toda la razón 😂😂😂😂😂 pero ammmmm no más existen para favorecer sus ideas y las ideas de los que están mucho más arriba que ellos y son sucios, esto es una aberración :v porque enserio, como vas a decir que necesitan que sean educados con estudios para votar, si muuuuuuchooooos congresistas solo entran como títeres y les inventan estudios, de verdad no abría ni democracia, además que la gente que no sabe leer al menos tiene más lógica de que su humanidad está siendo quitada, lo irónico es que los mismos que se postulan para la presidencia van a buscar a la gente del campo, (esa misma gente que dicen que no tiene educación) los buscan para darles víveres y una ayuda momentánea y después se olvidan de ellos, es enserio, usen la glándula pineal para razonar, revisen su cerebro y su realidad para que se den cuenta que c4r4jos andan diciendo.",2026-07-23T15:20:11Z,0
@Paraisosmexicanos,"No saben nisiquiera identificar que Chequia es el nombre corto de República chaca, pero que es el mismo país, así como México es el nombre corto de Estados Unidos Mexicanos. 😂😂😂😂😂",2026-07-23T15:03:34Z,0
@melapelas4148,🤢🤢🤢🤮🤮🤮🤮🤮🤮,2026-07-23T13:02:27Z,0
@FranciscoFaundez-pj2xs,44:38 Un buen dictador es una contradicción.,2026-07-23T12:56:26Z,0
@lizethfigueroa2767,El pueblo tiene el poder,2026-07-23T12:31:55Z,1
@lizethfigueroa2767,Los perdidos son ustedes,2026-07-23T12:31:16Z,0
@orlandolopez7813,Gracias a amlo a shembau  y alas mañaneras ya no engañas a nadie saludos desde New York,2026-07-23T10:27:45Z,0
@joseam666,"Yo escuché su podcast apenas salió, y aunque no coincidí con que se limite el voto, entiendo sus razones. Lo que sí, como decía el viejo pedorro, ""'magínense"" qué tan de la chingada está Morena que, a falta cada vez más de una oposición lo suficientemente notable como para que, como buenos dictadores, puedan usar en sus orwellianos 2 minutos de odio (que ahora son 2 horas o lo que dure la mañanera) para alimentar de repulsión a sus hordas de maiceados, tengan que recurrir a LA OPINIÓN PERSONAL DE 3 PERSONAS EN UN PODCAST. 
No se rindan, gracias a Uds la prasadanta ya demostró qué tan minúsculo y frágil es su pseudomovimiento, y aunque ya vi que vinieron los Locusts de Jesús Ramírez a cagarles el palo, habemos quienes no tenemos deficiencia neuronal y sabemos diferenciar una opinión de una imposición. Saludos Másters, sigan así a pesar de todo.",2026-07-23T08:31:23Z,0
@gerardodorantessegundo,"NUNCA HABIA VISTO TANTA IGNORANCIA EN TAN POCO TIEMPO.
Que basura de Podcast y que trío de ignaros.
Y YO NO VOTE POR NADIE.",2026-07-23T08:25:25Z,1
@crisdavidto,Tambien vine a ver que es lo que le salia de la boca y no la veo al frente de un cargo público y no por su pensamiento... si no por que los politicos no van solos en sus proyectos y no se desgastan en imagen como lo hizo en el show de Franco Escamilla.,2026-07-23T08:20:59Z,0
@cliffb.5734,"39:00
54:34
56:50
57:50
01:00:42
58:03",2026-07-23T06:59:05Z,0
@Moveimageable,Les sigue turbo valiendo carnales?,2026-07-23T06:16:15Z,0
@arielcaamal2663,"Aah!, es el meme completo.😅",2026-07-23T05:42:51Z,0
@karensantana8627,Soy totalmente anti morena pero no tiene nada que ver lo proaborto con si querer se mamá,2026-07-23T04:56:17Z,0
@ericmiranda1416,Mucho lamebotas de estos clasistas no quieren que votes por que no conoces el sistema que un campesino le diga que si no sabe plantar ni papa ni frijol no va a tragar tipa repugnante 🎉,2026-07-22T23:06:09Z,0
