cuenta_id,seguidores,cuenta_dias,tweets_por_hora,pct_retweet,hora_pico,sim_max_con_rumor,diversidad_lexica,etiqueta
1,28,3,35.0,0.89,3.5,0.924,0.103,bot
2,14,7,29.2,0.81,0.1,0.868,0.058,bot
3,12,1,42.2,0.86,2.7,0.819,0.123,bot
4,14,5,27.8,0.81,1.5,0.888,0.203,bot
5,6,4,47.1,0.8,2.8,0.924,0.153,bot
6,2,5,50.9,0.73,4.3,0.925,0.118,bot
7,35,7,30.4,0.86,3.9,0.912,0.184,bot
8,14,7,51.5,0.8,3.3,0.901,0.156,bot
9,3,3,38.4,0.92,4.7,0.867,0.11,bot
10,21,1,36.3,0.84,4.9,0.948,0.134,bot
11,11,4,52.2,0.82,2.5,0.934,0.144,bot
12,13,1,39.9,0.81,4.7,0.946,0.149,bot
13,21,3,48.4,0.85,3.9,0.868,0.167,bot
14,0,1,37.6,0.78,3.2,1.0,0.108,bot
15,8,5,43.9,0.84,2.7,0.948,0.176,bot
16,4,4,40.3,0.77,3.4,0.886,0.199,bot
17,16,5,35.3,0.84,0.0,0.875,0.168,bot
18,0,7,26.0,0.91,1.7,0.951,0.157,bot
19,0,8,51.5,0.84,2.6,0.914,0.101,bot
20,25,3,39.6,0.79,2.1,0.869,0.213,bot
21,13,7,40.1,0.79,2.5,0.898,0.15,bot
22,11,4,29.0,0.79,5.5,0.893,0.097,bot
23,18,9,28.4,0.83,2.1,0.85,0.187,bot
24,14,5,34.0,0.89,2.2,0.914,0.095,bot
25,2,9,35.9,0.87,2.9,0.902,0.125,bot
26,21,4,38.8,0.85,4.8,0.947,0.169,bot
27,9,1,47.6,0.93,2.8,0.942,0.189,bot
28,23,7,36.4,0.97,1.1,0.954,0.175,bot
29,23,10,51.9,0.76,0.5,0.953,0.099,bot
30,14,7,26.8,0.68,3.4,0.922,0.138,bot
31,15,2,27.9,0.84,1.5,0.854,0.175,bot
32,14,6,32.1,0.8,1.5,0.885,0.16,bot
33,7,6,42.7,1.0,0.9,0.956,0.146,bot
34,14,1,36.3,0.91,2.9,0.923,0.135,bot
35,26,4,22.4,0.79,0.0,0.79,0.123,bot
36,28,5,30.6,0.77,4.7,0.926,0.152,bot
37,14,5,46.4,0.89,3.3,0.878,0.176,bot
38,8,8,29.8,0.84,3.0,0.867,0.236,bot
39,29,3,46.2,0.88,23.1,0.93,0.147,bot
40,15,1,37.8,0.84,4.8,0.933,0.15,bot
41,30,3,36.9,0.7,5.4,0.959,0.196,bot
42,21,5,41.7,0.83,2.7,0.922,0.226,bot
43,20,4,35.4,0.8,5.4,0.94,0.153,bot
44,11,1,39.5,0.92,2.4,0.911,0.139,bot
45,16,1,38.1,0.78,4.3,0.889,0.179,bot
46,30,4,35.2,0.87,3.0,0.88,0.173,bot
47,35,4,38.4,0.77,3.5,0.87,0.095,bot
48,27,2,48.7,0.97,3.4,0.942,0.248,bot
49,13,3,29.2,0.85,5.2,0.958,0.103,bot
50,6,3,42.3,0.83,3.3,0.932,0.135,bot
51,14,5,39.3,0.89,5.8,0.944,0.153,bot
52,0,6,24.4,0.74,4.3,0.948,0.143,bot
53,0,3,34.6,0.9,6.4,0.929,0.111,bot
54,3,4,38.6,0.76,3.2,0.874,0.206,bot
55,25,8,36.2,0.89,2.8,0.904,0.133,bot
56,2,1,46.4,0.83,3.3,0.96,0.063,bot
57,7,5,43.1,0.82,4.5,0.928,0.089,bot
58,5,7,43.7,0.7,5.0,0.944,0.217,bot
59,11,4,31.0,1.0,2.7,0.984,0.118,bot
