velocidad_bala,distancia,salto
-11.0,959.0,0
-11.0,948.0,0
-11.0,937.0,0
-11.0,926.0,0
-11.0,915.0,0
-11.0,904.0,0
-11.0,893.0,0
-11.0,882.0,0
-11.0,871.0,0
-11.0,860.0,0
-11.0,849.0,0
-11.0,838.0,0
-11.0,827.0,0
-11.0,816.0,0
-11.0,805.0,0
-11.0,794.0,1
-11.0,783.0,1
-11.0,772.0,1
-11.0,761.0,1
-11.0,750.0,1
-11.0,739.0,1
-11.0,728.0,1
-11.0,717.0,1
-11.0,706.0,1
-11.0,695.0,1
-11.0,684.0,1
-11.0,673.0,1
-11.0,662.0,1
-11.0,651.0,1
-11.0,640.0,1
-11.0,629.0,1
-11.0,618.0,1
-11.0,607.0,1
-11.0,596.0,1
-11.0,585.0,1
-11.0,574.0,1
-11.0,563.0,1
-11.0,552.0,1
-11.0,541.0,1
-11.0,530.0,1
-11.0,519.0,1
-11.0,508.0,1
-11.0,497.0,1
-11.0,486.0,1
-11.0,475.0,1
-11.0,464.0,1
-11.0,453.0,1
-11.0,442.0,0
-11.0,431.0,0
-11.0,420.0,0
-11.0,409.0,0
-11.0,398.0,0
-11.0,387.0,0
-11.0,376.0,0
-11.0,365.0,0
-11.0,354.0,0
-11.0,343.0,0
-11.0,332.0,0
-11.0,321.0,0
-11.0,310.0,0
-11.0,299.0,0
-11.0,288.0,0
-11.0,277.0,0
-11.0,266.0,0
-11.0,255.0,0
-11.0,244.0,0
-11.0,233.0,0
-11.0,222.0,0
-11.0,211.0,0
-11.0,200.0,0
-11.0,189.0,0
-11.0,178.0,0
-11.0,167.0,0
-11.0,156.0,1
-11.0,145.0,1
-11.0,134.0,1
-11.0,123.0,1
-11.0,112.0,1
-11.0,101.0,1
-11.0,90.0,1
-11.0,79.0,1
-11.0,68.0,1
-11.0,57.0,1
-11.0,46.0,1
-11.0,35.0,1
-11.0,24.0,1
-11.0,13.0,1
-11.0,2.0,1
-11.0,9.0,1
-11.0,20.0,1
-11.0,31.0,1
-11.0,42.0,1
-11.0,53.0,1
-11.0,64.0,1
-13.0,957.0,1
-13.0,944.0,1
-13.0,931.0,1
-13.0,918.0,1
-13.0,905.0,1
-13.0,892.0,1
-13.0,879.0,1
-13.0,866.0,1
-13.0,853.0,1
-13.0,840.0,1
-13.0,827.0,1
-13.0,814.0,1
-13.0,801.0,1
-13.0,788.0,1
-13.0,775.0,1
-13.0,762.0,1
-13.0,749.0,1
-13.0,736.0,1
