documento,tipo,examen,filtro,pdf,whatsapp,profesor,injusto,rumor,fake,comedor,veneno,huelga,directivo,beca,fraude,link,urgente,rt,compartan,oficial,desmiento
semilla_rumor_examen,semilla,8,7,6,5,2,0,4,0,0,0,0,0,0,0,3,4,2,3,0,0
semilla_rumor_comedor,semilla,0,0,0,0,0,0,3,0,8,7,5,4,0,0,0,3,2,3,0,0
semilla_ruido_becas,semilla,0,0,0,0,0,0,1,0,0,0,0,4,8,6,3,2,0,0,0,0
semilla_desmentido,semilla,2,0,1,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,3,7
tw_origen_luna,tweet,5,4,4,3,2,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0
tw_bot_01,tweet,5,4,4,3,2,0,2,0,0,0,0,0,0,0,1,2,3,1,0,0
tw_bot_02,tweet,5,4,4,3,1,0,2,0,0,0,0,0,0,0,1,2,4,2,0,0
tw_bot_03,tweet,6,4,3,3,0,0,3,0,0,0,0,0,0,0,2,3,5,2,0,0
tw_bot_04,tweet,5,5,4,2,0,0,2,0,0,0,0,0,0,0,2,3,6,3,0,0
tw_bot_05,tweet,4,4,4,4,0,0,2,0,0,0,0,0,0,0,3,2,5,2,0,0
tw_amplifica_diego,tweet,3,2,2,4,2,3,3,0,0,0,0,0,0,0,0,1,0,2,0,0
tw_amplifica_vale,tweet,2,2,1,3,3,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0
tw_comedor_sofia,tweet,0,0,0,0,0,0,2,0,5,4,3,2,0,0,0,2,0,1,0,0
tw_comedor_eco,tweet,0,0,0,0,0,0,1,0,4,5,2,1,0,0,0,0,2,0,0,0
tw_ruido_becas,tweet,0,0,0,0,0,0,0,0,0,0,0,2,4,3,2,1,0,0,0,0
tw_ruido_beca2,tweet,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,2,0,0,1,0
tw_desmiente_omar,tweet,2,1,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,2,4
tw_desmiente_rectoria,tweet,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,5,5
